"","x"
"891","ATPsynC"
"892","Nop60B"
"893","Stim"
"894","Prestin"
"895","CG17896"
"896","CG14971"
"897","RhoGAP100F"
"898","alpha-Cat"
"899","CG6184"
"900","mRpL49"
"901","LysRS"
"902","Lpin"
"903","Dis3"
"904","CG9471"
"905","rl"
"906","AstA-R1"
"907","PNPase"
"908","Ntl"
"909","CG31751"
"910","CG14805"
"911","Spt6"
"912","l(3)72Dp"
"913","nmdyn-D7"
"914","CG14883"
"915","CG5022"
"916","Syx4"
"917","Syx4"
"918","Ppt1"
"919","Sec10"
"920","CG9149"
"921","CG5144"
"922","CG9257"
"923","Moe"
"924","AMPdeam"
"925","CG12163"
"926","ced-6"
"927","Aldh-III"
"928","Aldh-III"
"929","Actn"
"930","Actn"
"931","Pur-alpha"
"932","GluProRS"
"933","Fim"
"934","Fim"
"935","CG8500"
"936","SelR"
"937","Cam"
"938","Cam"
"939","CG8209"
"940","Nmt"
"941","Hrd3"
"942","flw"
"943","Desat1"
"944","Rab10"
"945","pit"
"946","CG10026"
"947","pAbp"
"948","CG5447"
"949","CG11811"
"950","ref(2)P"
"951","blw"
"952","Usp20-33"
"953","Hrb27C"
"954","Sirt4"
"955","rush"
"956","CG5946"
"957","RpS8"
"958","Rap1"
"959","Synj"
"960","CG7582"
"961","Pgk"
"962","l(3)02640"
"963","AGO1"
"964","otk"
"965","Hsc70-4"
"966","RSG7"
"967","scu"
"968","RpL36A"
"969","CG14857"
"970","Txl"
"971","Octbeta2R"
"972","Arpc3A"
"973","CG32441"
"974","ens"
"975","ens"
"976","ens"
"977","mfas"
"978","Npl4"
"979","Nhe2"
"980","Nhe2"
"981","CG1628"
"982","waw"
"983","NKAIN"
"984","NKAIN"
"985","CG17271"
"986","CG32225"
"987","Pex19"
"988","Arpc3A"
"989","rasp"
"990","CG3961"
"991","Irk1"
"992","Zw10"
"993","CG13096"
"994","Srp72"
"995","sll"
"996","Usp8"
"997","brp"
"998","Tango5"
"999","Tm2"
"1000","Tm2"
"1001","Tm2"
"1002","Fas3"
"1003","Suv3"
"1004","SppL"
"1005","Nep3"
"1006","l(1)G0020"
"1007","vari"
"1008","jdp"
"1009","Mal-B2"
"1010","Exo84"
"1011","cher"
"1012","jar"
"1013","KCNQ"
"1014","KCNQ"
"1015","Esyt2"
"1016","Snx1"
"1017","SPoCk"
"1018","Pka-R1"
"1019","Pka-R1"
"1020","AP-1gamma"
"1021","Pde8"
"1022","ClC-a"
"1023","l(3)76BDm"
"1024","Exo70"
"1025","CG15890"
"1026","CG9297"
"1027","sgg"
"1028","mesh"
"1029","Got2"
"1030","CG1513"
"1031","CG6231"
"1032","ZnT49B"
"1033","Syt4"
"1034","Syt4"
"1035","CG15117"
"1036","CG11779"
"1037","CG12096"
"1038","Asator"
"1039","flw"
"1040","GlyRS"
"1041","cora"
"1042","tmod"
"1043","Pfk"
"1044","EloA"
"1045","UGP"
"1046","CG14411"
"1047","Nost"
"1048","Vps53"
"1049","Pkn"
"1050","godzilla"
"1051","godzilla"
"1052","Tm1"
"1053","sws"
"1054","lqf"
"1055","Pvr"
"1056","Pvr"
"1057","Pvr"
"1058","Spn"
"1059","nAChRbeta2"
"1060","nAChRbeta2"
"1061","Ent3"
"1062","GAA1"
"1063","betaTub56D"
"1064","Cul3"
"1065","Cyp4d21"
"1066","SCAR"
"1067","Gycalpha99B"
"1068","CG7565"
"1069","CG7565"
"1070","Fim"
"1071","Fim"
"1072","G6P"
"1073","CG6191"
"1074","Ptp61F"
"1075","Ptp61F"
"1076","Lsd-1"
"1077","List"
"1078","bsk"
"1079","bsk"
"1080","B52"
"1081","B52"
"1082","Hexo1"
"1083","CG9132"
"1084","CG9132"
"1085","lectin-24Db"
"1086","Rpn13"
"1087","CG5823"
"1088","Sf3b3"
"1089","CG5214"
"1090","Galphao"
"1091","Dsp1"
"1092","eIF5"
"1093","CG10778"
"1094","CG11679"
"1095","Rbp1"
"1096","Ect3"
"1097","nst"
"1098","CG3156"
"1099","twin"
"1100","Myd88"
"1101","RanGAP"
"1102","Nost"
"1103","CG1227"
"1104","BicD"
"1105","Ras85D"
"1106","MSBP"
"1107","Klc"
"1108","Pka-C1"
"1109","Pka-C1"
"1110","CG7997"
"1111","CG10103"
"1112","CG9281"
"1113","U2af50"
"1114","ttm50"
"1115","CG8839"
"1116","ZnT41F"
"1117","vig"
"1118","Dip-C"
"1119","DCTN2-p50"
"1120","heix"
"1121","trio"
"1122","ClC-c"
"1123","Sema2b"
"1124","Sema2b"
"1125","CG12163"
"1126","crq"
"1127","S6k"
"1128","S6k"
"1129","Spat"
"1130","CG6972"
"1131","dnc"
"1132","CG1814"
"1133","Frq2"
"1134","RFeSP"
"1135","CG31729"
"1136","Pkn"
"1137","Atpalpha"
"1138","CG6959"
"1139","Ctr1A"
"1140","unc79"
